25.47,403.1
163.26,649.07
157.1,657.83
62.87,473.95
99.65,550.43
173.23,669.97
40.5,430.32
99.25,548.91
17.95,391.25
146.13,614.51
106.67,542.29
18.08,393.36
145.87,629.64
87.33,522.05
8.49,377.71
5.03,362.2
164.28,665.74
116.56,572.86
195.39,717.78
147.61,622.15
111.06,572.43
20.03,402.72
131.54,587.44
57.2,468.37
141.73,612.75
133.33,604.46
3.98,347.16
46.99,427.46
176.26,692.74
53.56,442.72
177.79,692.79
140.72,617.98
185.0,695.45
198.74,736.36
163.87,662.43
105.12,556.69
125.73,583.1
138.46,621.16
135.84,618.71
58.54,449.56
105.93,544.08
144.44,608.86
38.68,409.22
134.73,592.53
186.33,699.26
3.05,357.4
15.84,385.56
161.74,661.84
86.47,503.0
150.45,628.89
142.59,605.77
123.63,590.1
23.07,384.57
196.52,722.83
115.56,573.44
107.68,540.33
162.02,653.49
43.67,440.41
195.99,723.14
29.63,403.48
190.69,711.31
160.4,645.05
67.74,476.63
59.97,453.01
181.45,693.5
153.28,637.77
90.85,527.91
26.11,404.94
189.44,706.8
60.13,454.38
80.83,511.86
29.74,402.57
180.24,681.41
123.53,590.4
166.96,652.05
36.18,422.55
143.56,623.22
41.52,419.04
181.81,695.8
134.45,602.7
4.39,351.72
7.46,367.39
151.43,649.45
120.41,573.43
12.52,376.54
122.01,576.31
65.03,475.57
27.75,417.61
157.69,658.78
139.61,626.43
68.31,464.51
6.25,372.57
136.93,614.32
159.4,647.77
98.25,532.24
83.51,512.03
198.27,711.45
93.04,514.93
116.86,585.02
69.63,474.83
158.82,645.84
139.89,624.4
110.25,568.57
179.4,689.36
11.26,383.66
7.4,365.41
69.66,480.85
90.77,510.41
118.92,586.55
72.1,486.48
197.3,732.19
139.33,601.3
119.3,580.74
180.72,687.31
65.86,467.85
152.33,631.4
93.08,526.38
84.4,497.21
90.21,524.58
132.11,584.78
174.37,684.77
90.4,521.31
20.7,376.06
46.08,424.1
36.99,426.92
110.09,555.21
26.81,415.49
25.73,391.81
157.07,637.35
139.04,622.69
34.06,405.67
160.36,645.63
31.34,403.81
37.41,421.28
