96.2,81.46
47.24,51.4
18.92,30.55
53.85,47.98
99.5,91.28
67.76,62.94
98.47,94.73
83.55,82.07
78.48,80.83
1.31,28.46
5.42,19.64
28.96,49.49
38.07,53.38
14.18,27.4
46.84,47.14
77.44,74.33
8.31,35.55
62.56,71.25
5.55,26.63
46.73,56.76
85.61,79.97
98.9,80.1
22.97,37.18
26.98,45.33
13.01,33.29
87.29,73.72
44.41,58.56
38.83,42.41
35.71,51.51
6.08,26.82
58.57,57.58
98.55,89.8
33.78,35.98
8.61,24.87
30.06,32.46
11.69,39.04
64.17,66.15
53.74,62.59
87.58,69.08
14.76,37.46
36.62,40.4
15.7,35.5
55.28,56.42
83.13,67.79
69.18,73.36
76.35,62.29
5.59,30.43
47.38,60.37
50.46,52.39
71.46,75.88
27.72,42.12
87.78,83.98
62.53,62.86
24.28,43.22
81.9,76.4
55.45,57.91
37.04,46.97
13.8,38.28
96.29,76.08
3.93,30.32
5.11,28.68
76.64,76.92
68.58,60.78
33.94,37.88
0.89,20.92
29.94,31.54
64.99,60.63
49.01,45.86
51.25,65.27
4.05,32.43
32.24,41.8
55.06,63.23
60.68,59.1
93.74,89.07
43.43,40.37
74.76,68.12
40.63,51.15
16.72,37.96
25.06,36.75
59.15,63.84
0.35,16.37
29.72,43.6
17.03,42.8
62.51,63.47
36.64,45.14
6.38,29.55
81.94,75.88
85.94,85.22
16.79,24.64
85.36,79.53
17.96,42.19
16.56,25.08
34.07,40.6
